Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
"Population, total",SP.POP.TOTL,Suriname,SUR,408276,416068,423572,430901,438280,445830,453653,461569,469108,475637,480751,484210,491999,495953,500953,506657,512522,518141,523439,528535
"Population, total",SP.POP.TOTL,Swaziland,SWZ,862728,887248,907947,926224,944223,963428,984506,1006760,1028694,1048151,1063715,1074765,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12451539,12817578,13186187,13559642,13941025,14331962,14736209,15151962,15568797,15972430,16354050,16694414,18132842,18728200,19425597,20097057,20566871,20720602,20501167,19978756
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5297286,5417554,5523207,5616797,5702611,5784330,5862224,5936780,6012308,6094126,6186152,6290413,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929
"Population, total",SP.POP.TOTL,Tanzania,TZA,25458208,26307482,27203865,28122799,29030288,29903329,30733937,31533781,32323953,33135281,33991590,34899062,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709
"Population, total",SP.POP.TOTL,Thailand,THA,56582824,57225972,57761574,58237672,58722767,59266089,59878955,60544937,61250974,61973957,62693322,63415174,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,740231,764884,792846,820471,842752,856439,859496,853867,845106,841063,847185,865848,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958
"Population, total",SP.POP.TOTL,Togo,TGO,3786942,3886858,3984356,4081398,4180689,4284286,4392941,4506465,4624826,4747665,4874735,5006223,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581
"Population, total",SP.POP.TOTL,Tonga,TON,95152,95304,95421,95532,95678,95889,96174,96526,96937,97398,97898,98434,100858,101507,102169,102816,103416,103947,104392,104769
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221904,1229906,1237486,1244410,1250316,1255001,1258365,1260677,1262544,1264781,1267980,1272383,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579
"Population, total",SP.POP.TOTL,Tunisia,TUN,8154400,8318200,8489900,8572200,8785700,8957500,9089300,9214900,9333300,9455900,9552500,9650600,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500
"Population, total",SP.POP.TOTL,Turkey,TUR,53994605,54909508,55811134,56707454,57608769,58522320,59451488,60394104,61344874,62295617,63240157,64182694,67860617,68704721,69515492,70344357,71261307,72310416,73517002,74849187
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3668000,3772350,3881973,3991917,4095512,4188010,4267690,4335991,4395293,4449427,4501419,4551762,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11550,12205,12970,13793,14597,15334,15967,16527,17114,17866,18876,20186,26450,27642,28638,29481,30247,30993,31727,32430
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9004,9056,9103,9148,9188,9227,9264,9298,9334,9374,9419,9471,9694,9732,9764,9788,9808,9827,9844,9860
"Population, total",SP.POP.TOTL,Uganda,UGA,17384369,17973428,18571527,19177660,19791266,20412967,21041468,21679497,22336812,23026357,23757636,24534668,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,52000470,52150266,52179210,51921041,51512299,51057189,50594105,50143939,49673350,49175848,48683865,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1811458,1913190,2019014,2127863,2238281,2350192,2467726,2595220,2733770,2884188,3050128,3217865,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300
"Population, total",SP.POP.TOTL,United States,USA,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,295516599,298379912,301231207,304093966,306771529,309346863,311718857,314102623
"Population, total",SP.POP.TOTL,Uruguay,URY,3109987,3132048,3154853,3178156,3201604,3224807,3248039,3271014,3292134,3309318,3321242,3327105,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146633,150779,155242,159814,164209,168236,171802,175004,178074,181346,185058,189288,209375,214635,219956,225335,230782,236299,241876,247498
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19861959,20332247,20799471,21263994,21726808,22188671,22649212,23108003,23565734,24023355,24481477,24940223,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238
"Population, total",SP.POP.TOTL,Vietnam,VNM,66016700,67242400,68450100,69644500,70824500,71995500,73156700,74306900,75456300,76596700,77630900,78620500,82392100,83311200,84218500,85118700,86025000,86932500,87860300,88809200
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,104807,105711,106577,107317,107817,108093,108355,108535,108596,108639,108386,107863,107700,107423,107091,106707,106267,105784,105275
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,1978248,2068845,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,11961099,12571240,13245003,13948118,14633091,15266147,15834747,16349809,16829935,17304422,17795219,18306287,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792
"Population, total",SP.POP.TOTL,Zambia,ZMB,8143142,8361381,8576987,8794061,9018229,9253527,9502346,9763742,10034412,10309310,10585220,10861238,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10484771,10763036,11019717,11256512,11476807,11683136,11877664,12059858,12226742,12374019,12499981,12603988,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/03/2017,,,,,,,,,,,,,,,,,,,,,,,
