Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,899.298788188452,915.554692730787,996.339990257044,1331.12587890161,1073.44342591683,1251.80902654233,1256.49315977323,1197.17587126798,1242.98749303348,1379.07309314039,1229.04445630619,1258.55722230037,2049.61597927754,2316.47949032154,3145.65394064932,3698.31341188568,3517.38558157502,3393.92721243272,3766.11147327094,3497.68969701076
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,..,..,..,253.193194590562,269.567075982261,321.774639831393,318.149535415338,303.685904650096,268.043043439002,294.865211978005,299.562237635792,319.69245973546,472.448855862778,537.848582712145,629.282877634499,742.942923336176,735.40752391652,782.692789877004,879.15124409234,946.476678710416
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,923.881224306216,1000.3265409014,890.563681123739,1027.5673529387,680.637143729394,626.956040248719,679.765193866363,668.972081971818,637.360860441375,675.923864855214,583.094838239344,589.203919470222,915.091287679653,965.368688278105,1070.95467461962,1191.70955436733,1164.71725437091,1147.2423467852,1258.92465066853,1222.19214220436
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21371.2910981421,21664.598643531,20771.2503529737,20017.4298480977,19859.2039778368,20577.4893858895,21183.2200827089,21770.1340814172,20887.8394667666,22167.2258498882,24124.169174631,23691.5947188738,36189.5883840265,40386.6994835116,44544.5268004039,46596.3359912609,40773.4543637445,47445.7619347846,52083.8262233942,52495.2884719937
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,..,..,..,..,30190.6686767543,..,..,..,..,..,..,64104.7515979462,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,490.399517627518,457.455298337471,457.058307943391,403.293114877117,261.602137214151,334.365476698878,294.920431422517,268.086219493834,270.430745484328,273.581357915598,245.434384929296,245.563272645566,332.946640076818,353.894451706416,404.113181854386,463.82761863065,454.369316916856,446.800204552837,488.357342192885,472.818218057294
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,291.809187353515,305.165508273422,296.345844508752,223.171278803781,174.194572344072,206.51178994685,221.947176884369,206.119566016383,224.840097600603,190.81541057709,166.008015485376,197.302275108616,660.181556791972,712.046809818059,801.401571238389,929.27955270189,803.914336605293,895.878034872605,988.443189312858,972.679413512305
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,40538.064462257,42406.9328479547,43299.401141101,41609.0194762585,57209.2491624825,62260.2255450367,73568.2348279852,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2401.52518142699,2727.57382485905,3277.66908594776,3461.43509193953,3942.967593861,5026.72063426315,5263.19136638145,5674.15300814649,5367.21182364762,4872.69214829219,5229.17709770803,4709.92339982049,7728.61189741759,9500.83516202761,10513.540709255,10791.0201852467,10217.3140258368,12785.0518749447,14582.1705198618,15253.3308268909
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.88519809917,333.141714575898,366.460275912267,377.38951831929,473.49276222534,609.656765306952,709.413462811663,781.743728021845,828.580410344813,873.287295306257,959.372108105392,1053.10802408463,1753.41780007468,2099.22967551721,2695.36622271788,3471.24754726234,3838.43429215628,4560.5124871009,5633.79610636071,6337.8829926902
