Country;Year;Total GHG Emissions Including LUCF
Bhutan;2005;-7.086.511.025
Bhutan;2006;-7.721.529.323
Bhutan;2007;-765.487.362
Bhutan;2008;-7.789.649.917
Bhutan;2009;-7.840.946.215
Bhutan;2010;-7.745.682.512
Bhutan;2011;-7.731.179.245
Bhutan;2012;-7.967.647.977
Bolivia;1990;1.056.180.341
Bolivia;1991;1.061.689.564
Bolivia;1992;1.078.791.826
Bolivia;1993;1.093.925.828
Bolivia;1994;1.112.764.751
Bolivia;1995;1.112.331.653
Bolivia;1996;1.104.134.403
Bolivia;1997;1.112.870.773
Bolivia;1998;1.124.118.803
Bolivia;1999;1.173.154.173
Bolivia;2000;1.091.993.403
Bolivia;2001;1.054.048.289
Bolivia;2002;1.092.255.874
Bolivia;2003;1.110.220.259
Bolivia;2004;1.275.631.885
Bolivia;2005;121.767.523
Bolivia;2006;1.280.341.613
Bolivia;2007;1.327.968.457
Bolivia;2008;129.822.912
Bolivia;2009;1.287.750.143
Bolivia;2010;1.548.518.126
Bolivia;2011;1.402.844.785
Bolivia;2012;1.364.737.383
Bosnia & Herzegovina;1990;2.570.842.106
Bosnia & Herzegovina;1991;2.319.676.243
Bosnia & Herzegovina;1992;1.975.183.405
Bosnia & Herzegovina;1993;6.084.033.108
Bosnia & Herzegovina;1994;-4.109.235.832
Bosnia & Herzegovina;1995;-4.136.294.772
Bosnia & Herzegovina;1996;-3.111.132.182
Bosnia & Herzegovina;1997;1.797.022.408
Bosnia & Herzegovina;1998;4.767.174.997
Bosnia & Herzegovina;1999;5.103.451.587
Bosnia & Herzegovina;2000;9.118.914.177
Bosnia & Herzegovina;2001;1.954.988.367
Bosnia & Herzegovina;2002;2.030.671.116
Bosnia & Herzegovina;2003;2.094.462.465
Bosnia & Herzegovina;2004;2.168.702.415
Bosnia & Herzegovina;2005;2.235.562.164
Bosnia & Herzegovina;2006;241.326.922
Bosnia & Herzegovina;2007;2.511.579.276
Bosnia & Herzegovina;2008;2.670.934.333
Bosnia & Herzegovina;2009;2.667.928.589
Bosnia & Herzegovina;2010;2.677.381.045
Bosnia & Herzegovina;2011;2.985.434.188
Bosnia & Herzegovina;2012;2.775.257.131
Botswana;1990;2.232.631.344
Botswana;1991;2.211.712.335
Botswana;1992;2.269.944.326
Botswana;1993;2.272.577.316
Botswana;1994;2.326.109.307
Botswana;1995;2.445.062.298
Botswana;1996;2.756.365.802
Botswana;1997;2.875.155.307
Botswana;1998;2.996.866.811
Botswana;1999;2.816.655.316
Botswana;2000;271.166.182
Botswana;2001;2.298.382.121
Botswana;2002;3.139.329.421
Botswana;2003;2.000.751.721
Botswana;2004;1.831.241.021
Botswana;2005;2.192.219.322
Botswana;2006;216.392.246
Botswana;2007;2.272.013.598
Botswana;2008;2.691.800.737
Botswana;2009;1.934.135.875
Botswana;2010;2.890.134.013
Botswana;2011;3.355.130.438
Botswana;2012;2.390.260.863
Brazil;1990;160.659.457
Brazil;1991;1.617.901.326
Brazil;1992;1.629.956.579
Brazil;1993;1.642.264.437
Brazil;1994;1.661.752.841
Brazil;1995;1.688.949.995
Brazil;1996;169.805.521
Brazil;1997;173.128.479
Brazil;1998;176.439.213
Brazil;1999;1.774.900.447
Brazil;2000;1.778.979.733
Brazil;2001;1.945.289.665
Brazil;2002;1.972.626.472
Brazil;2003;1.987.263.488
Brazil;2004;2.029.872.553
Brazil;2005;2.056.990.284
Brazil;2006;1.632.557.772
Brazil;2007;1.685.565.426
Brazil;2008;1.677.159.237
Brazil;2009;1.661.520.019
Brazil;2010;177.377.442
Brazil;2011;1.768.753.706
Brazil;2012;1.823.148.349
Brunei;1990;147.600.667
Brunei;1991;1.430.770.828
Brunei;1992;1.464.081.985
Brunei;1993;1.505.234.143
Brunei;1994;1.545.399.301
Brunei;1995;1.594.497.459
Brunei;1996;1.657.587.072
Brunei;1997;1.732.286.086
Brunei;1998;17.550.951
Brunei;1999;1.702.096.713
Brunei;2000;1.759.879.327
Brunei;2001;1.749.952.468
Brunei;2002;176.699.381
Brunei;2003;1.864.752.951
Brunei;2004;1.840.074.893
Brunei;2005;1.842.472.635
Brunei;2006;2.075.481.498
Brunei;2007;2.032.729.162
Brunei;2008;2.067.658.626
Brunei;2009;2.089.164.489
Brunei;2010;2.096.740.553
Brunei;2011;2.184.210.096
Brunei;2012;220.674.984
Bulgaria;1990;9.075.894.118
Bulgaria;1991;6.819.815.056
Bulgaria;1992;6.326.696.994
Bulgaria;1993;6.248.096.332
Bulgaria;1994;5.914.586.271
Bulgaria;1995;5.888.313.209
Bulgaria;1996;5.928.041.854
Bulgaria;1997;55.818.505
Bulgaria;1998;5.302.447.345
Bulgaria;1999;4.695.482.591
Bulgaria;2000;4.622.059.636
Bulgaria;2001;4.689.693.303
Bulgaria;2002;441.202.217
Bulgaria;2003;4.839.482.236
Bulgaria;2004;4.748.220.903
Bulgaria;2005;476.028.477
Bulgaria;2006;4.969.907.123
Bulgaria;2007;5.342.080.676
Bulgaria;2008;5.147.842.829
Bulgaria;2009;4.406.001.181
Bulgaria;2010;4.559.742.534
Bulgaria;2011;509.502.514
Bulgaria;2012;4.622.466.822
Burkina Faso;1990;2.480.770.586
Burkina Faso;1991;2.414.756.573
Burkina Faso;1992;245.240.556
Burkina Faso;1993;2.485.886.747
Burkina Faso;1994;2.528.758.334
Burkina Faso;1995;2.572.684.921
Burkina Faso;1996;2.624.444.383
Burkina Faso;1997;2.694.999.844
Burkina Faso;1998;2.787.251.505
