Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,119791683307.507,121872464483.487,130838040067.584,120579072750.596,127131461119.927,152027402449.804,163517783497.163,161354369892.838,154165219811.533,162286003692.686,171315639982.731,174003247439.305,308722079937.912,345424664369.357,400883873279.083,461946808510.638,386383919342.271,428524701366.599,498157406416.158,509704856037.817
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,11685045513.6541,11341482444.7334,12452275682.7048,12493107932.3797,12918855656.697,13802600780.2341,15277763328.9987,15837451235.3706,14085373211.9636,15710148244.4733,19507412223.6671,19452015604.6814,31081924577.3732,37215864759.4278,42085305591.6775,60905331599.4798,48388296488.9467,58641352405.7217,67937581274.3823,76689206762.0286
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,40010424928.715,45451960731.7204,48635176852.7673,51478304859.5879,51894781281.8919,60636022422.6176,63320122807.1223,62433300338.0941,62191955814.3478,62973855718.8874,73952374969.7995,72309738921.3329,109502102510.883,137264061106.043,152385716311.916,170077814106.305,168152775283.032,177406854514.885,213587413183.996,224383620829.57
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,76888000,83855000,82451000,75907000,83527000,95237000,108203000,113213000,117320000,113485000,149300000,160000000,193300000,194700000,196000000,198100000,186400000,183800000,199900000,214200000
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,6433967048.89355,7074675466.71512,8042337717.10487,8782585412.84165,9365289798.88538,9573813687.65665,9870494017.20925,10677286062.1918,11575486374.2233,12130252154.4086,12304114980.2874,12502013401.9778,16374393923.6994,18141666302.3493,20958000000,24522200000,26593500000,28917200000,34373820484.9739,39954761232.6898
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,3219730365,3787352286.66667,4377984100,4974662910,5502648500,4636113480.00002,5155485419.7,4936605079.99998,3789428160.00001,3477060138.33333,3521348154.79666,3081029665.98233,4865971718.29732,5527856839.07482,6340673793.54534,8000074071.33069,8105331929.8755,9716103408.96554,12873049346.2674,15391629871.3765
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,5695201563.42495,6984367762.90371,7157424031.06045,7249533620.30614,7870982170.98217,9062131307.88275,9788391732.82899,9965225496.5884,9024567484.2013,8392549702.31511,8195993230.74275,7662595075.90241,8734653809.49561,10646157920.3209,13794910633.8518,18504130752.9922,15929902138.1363,20030528042.9171,25099681460.8943,24595319573.7548
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,26410386669.3609,34672122339.7898,36139225252.6227,35158109978.8868,44882079766.8913,53312793687.3836,55252414130.3019,58147522522.5225,55501467877.381,50187324567.883,51744749133.213,52030158775.4055,76060606060.606,88643193061.748,102170981144.136,120550599815.441,120822986521.479,147492391535.14,171724325697.898,192605185353.65
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,44311593755.7845,45417561302.2497,52976344928.9564,54368083953.1119,64084460124.4644,74119987244.5011,82848140618.0266,82344260570.6685,72207025219.4752,82995147089.9742,81026297144.2795,76262072022.215,103071585462.599,122210719245.902,149359920005.894,174195135053.121,168334599538.168,199590774784.581,224143083706.777,250092093547.532
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,65977748210.5263,85500935934.9901,94337050693.2727,96045645026.178,110803391516.698,142137319587.629,159942880456.956,159117799530.388,174388271853.6,169717677900.734,171885598582.637,190521263343.023,306134635593.744,344826430298.147,429249647594.607,533815789473.684,439796160379.475,479321128909.23,528828473066.019,500344281382.345
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,78721607509.4923,89242382961.0101,107602689040.689,95019103603.042,99698453260.8696,118133634071.912,122629812841.175,117046198970.84,123981736420.303,127465545493.288,118358489957.619,121545880984.34,197304513120.259,208566948939.907,240169336162.059,262007590449.685,243745748819.116,238317631788.079,244879869335.557,216368178659.447
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico,PRI,30603919000,32287031000,34630430000,36922456000,39690630000,42647331000,45340835000,48187039000,54086409000,57840954000,61701810000,69668635000,83914521340.5431,87276164364.6388,89524131617.1909,93639316000,96385638000,98381268000,100351670000,101080738000
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,7360439423.07692,6883516483.51648,7646153983.51648,7156593653.84615,7374450769.23077,8137911978.02198,9059340384.61539,11297802115.3846,10255495027.4725,12393131868.1319,17759890109.8901,17538461538.4615,44530494505.4945,60882142857.1428,79712087912.0879,115270054945.055,97798351648.3516,125122306346.154,167775274725.275,186833516483.516
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROM,38995454545.4545,28998684210.5263,25121666666.6667,26362894736.8421,30074440483.3837,37662075750.123,37182938696.0752,35838588169.6429,41976002703.9207,36183003978.3474,37438527799.5302,40716836998.0386,99697566667.8107,123533036667.853,171536685395.563,208181626900.631,167422949529.4,167998080493.408,185362855081.021,171664638717.49
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,516814258695.568,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395531066563.296,391719993756.828,404926534140.017,270953116950.026,195905767668.562,259708496267.33,306602673980.117,764017107992.391,989930542278.695,1299705247685.76,1660844408499.61,1222643696991.85,1524916112078.87,2034007406354.34,2154067053237.85
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,2550185618.14774,1911600969.76612,2029026704.02707,1971525998.87685,753636370.454546,1293535010.94467,1382334879.40812,1851558301.7002,1989343495.21844,1817655328.06755,1734938264.47371,1674685094.01639,2581465863.87859,3110328010.91442,3775447705.93559,4796573531.21622,5308990459.47843,5698548987.88591,6406727230.17325,7219657132.21544
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,125766269.755358,125597205.422315,132303041.36253,133122897.196262,221098106.508876,224865731.381903,249908970.658971,285475591.89651,269481523.200465,258833766.580017,269019710.327456,273088357.1637,465568018.300557,505832439.822977,570469196.667431,619260721.579306,584706020.213857,656789149.595525,762098381.877023,804209309.427213
