Cite as: CAIT Climate Data Explorer. 2015. Washington; DC: World Resources Institute. Available online at:•À_http://cait.wri.org.•À_ Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014; FAOSTAT Emissions Database. Any use of CO2•À_emissions from fuel combustion data should be cited as CO2•À_Emissions from Fuel Combustion; •À_OECD/IEA; 2014.;;;;;;;;;;;;;;;;;
;;Total GHG;;Emissions by Gas excluding LUCF;;;;Emissions by Gas including LUCF;;;Emissions by Sector;;;;;;Emissions by Energy Sub-Sector;;;;
Country;Year;Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e);Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?);Total CO2 (excluding Land-Use Change and Forestry) (MtCO2);Total CH4 (MtCO2e);Total N2O (MtCO2e);Total F-Gas (MtCO2e);Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e);Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Land-Use Change and Forestry (MtCO2);Bunker Fuels (MtCO2);Electricity/Heat (MtCO2);Manufacturing/Construction (MtCO2);Transportation (MtCO2);Other Fuel Combustion (MtCO2e);Fugitive Emissions (MtCO2e)
Angola;1996;6.378.044.376;1.203.826.838;114.655;379.443;143.627;0.0079;51.663.508;4.967.124.259;1.904.004.372;375.013;0.1434;25.529;0.5968;566.022;1.04;0.43;1.91;0.98;19.887;321.925
Angola;1997;6.454.489.692;1.190.530.569;11.784;386.295;141.204;0.011;51.649.574;4.911.065.821;1.828.177.364;386.002;0.1613;251.747;0.6087;545.082;1.05;0.66;1.77;1.04;20.178;331.125
Angola;1998;6.793.187.207;1.278.071.621;117.163;406.139;155.875;0.0142;52.128.052;5.448.518.382;2.117.972.355;392.921;0.1901;278.292;0.6206;598.753;0.67;0.61;1.6;0.83;21.469;341.052
Angola;1999;6.780.668.923;1.257.902.092;128.107;405.486;14.43;0.0174;52.693.172;5.344.223.944;1.963.743.347;412.349;0.12;258.094;0.6325;579.835;1.18;0.87;1.61;1.14;24.259;35.189
Angola;2000;6.939.049.238;1.232.677.024;12.825;41.698;14.847;0.0205;53.112.578;5.146.714.506;1.866.745.339;42.048;0.1195;265.787;0.6444;538.772;1.42;0.96;2.02;1.06;2.245;35.763
Angola;2001;7.436.342.083;1.213.546.508;134.909;457.907;150.542;0.0277;5.248.398;5.159.322.047;1.724.978.649;464.547;0.3025;269.006;0.7057;469.912;1.53;1.06;2.16;1.19;24.152;396.295
Angola;2002;7.885.646.128;1.291.985.313;143.113;495.838;149.265;0.0348;54.735.584;5.679.970.589;176.284.396;511.698;0.3316;26.588;0.7671;503.421;1.32;1.07;2.42;1.47;24.954;437.144
Angola;2003;9.051.411.372;1.409.042.737;18.688;549.579;168.263;0.0419;5.951.006;619.508.713;1.940.140.271;594.118;0.39;298.838;0.8285;503.902;0.79;1.24;2.48;2.73;25.956;503.662
Angola;2004;9.611.233.217;1.491.673.322;194.644;59.231;173.678;0.0491;61.015.252;6.761.198.671;2.049.101.581;640.856;0.4265;307.204;0.8899;53.055;1.29;0.89;2.52;3.11;26.958;548.698
Angola;2005;9.927.448.262;1.526.749.526;186.439;632.728;173.015;0.0562;60.334.186;7.180.480.213;2.047.973.892;668.932;0.7121;307.179;0.9513;534.005;0.9;1;2.04;2.43;2.446;589.773
Angola;2006;106.124.627;155.786.447;207.232;697.323;156.048;0.0644;60.133.878;7.712.761.311;18.460.596;764.626;0.7495;277.269;11.857;496.618;0.8;1.09;2.25;3.23;34.315;664.611
Angola;2007;1.188.930.314;1.699.666.114;23.403;784.728;169.447;0.0725;6.469.909;8.563.651.409;1.955.849.308;866.607;0.7687;300.537;1.42;510.736;1.2;1.21;2.43;3.82;3.837;753.637
Angola;2008;1.267.637.917;1.767.993.217;250.796;855.686;160.349;0.0806;64.783.678;9.303.538.507;1.889.961.016;956.661;0.9673;28.486;16.544;500.355;1.29;1.61;2.28;5.1;45.025;821.736
Angola;2009;1.370.019.861;1.878.514.761;272.276;934.529;162.327;0.0888;6.689.192;1.015.128.361;1.935.792.724;1.053.223;0.9865;288.145;18.887;508.495;1.18;2.47;2.49;5.65;5.078;896.343
Angola;2010;1.479.116.345;1.993.001.045;289.468;101.783;170.849;0.0969;69.028.226;109.949.787;2.022.515.431;1.147.011;0.8444;302.431;21.231;513.885;1.17;2.63;2.64;6.71;53.635;973.576
Angola;2011;1.507.501.341;2.062.983.841;292.168;1.037.437;176.816;0.108;71.691.576;1.132.673.036;2.123.151.252;1.164.801;0.8554;312.569;21.677;555.483;1.14;2.4;2.73;6.83;54.293;990.908
Angola;2012;1.499.239.478;1.997.218.778;293.342;1.042.232;162.475;0.119;6.915.901;1.114.465.201;1.899.732.072;1.188.437;;287.588;22.124;497.979;1.22;2.38;2.76;7.25;5.745;1.007.087
Antigua & Barbuda;1990;0.422743607;0.403833607;0.3004;0.1091;0.0132;0;0.281538;0.109114607;0.013181;;0;0.0363;0.0852;-0.0189;;;;;;0
Antigua & Barbuda;1991;0.419028627;0.400248627;0.2895;0.1133;0.0133;0.0029;0.270676;0.113303966;0.0133229;;0.0029;0.0362;0.0896;-0.0188;;;;;;0
Antigua & Barbuda;1992;0.426495648;0.407865648;0.2895;0.1176;0.0135;0.0059;0.270826;0.117643325;0.0135048;;0.0059;0.0363;0.0941;-0.0186;;;;;;0
Antigua & Barbuda;1993;0.449018668;0.430548668;0.3041;0.1221;0.0139;0.0088;0.285642;0.122142685;0.0139267;;0.0088;0.0367;0.0985;-0.0185;;;;;;0
Antigua & Barbuda;1994;0.464443689;0.446123689;0.3114;0.1268;0.0144;0.0118;0.29312;0.126792044;0.0144286;;0.0118;0.0374;0.1029;-0.0183;;;;;;0
Antigua & Barbuda;1995;0.48335271;0.46518271;0.3224;0.1313;0.0149;0.0147;0.304262;0.131251404;0.0149405;;0.0147;0.038;0.1074;-0.0182;;;;;;0
Antigua & Barbuda;1996;0.501276583;0.483256583;0.3224;0.1354;0.0153;0.0282;0.304412;0.135381551;0.0152924;;0.0282;0.038;0.1119;-0.018;;;;;;0
Antigua & Barbuda;1997;0.533956455;0.516086455;0.3371;0.1395;0.0157;0.0416;0.319218;0.139521698;0.0157343;;0.0416;0.0381;0.1164;-0.0179;;;;;;0
Antigua & Barbuda;1998;0.548056328;0.530336328;0.3334;0.1436;0.016;0.0551;0.315704;0.143561845;0.0160162;;0.0551;0.0379;0.1209;-0.0177;;;;;;0
